Group,pop_size,max_num_eva,min_adaptive_size,max_adaptive_size,max_gen_exam1,max_gen_exam2,Accuracy,Number_Selected_Features
88,5,1500,1,9,30,400,0.9649122807017545,16.5
89,15,2000,4,10,90,400,0.962280701754386,18.0
90,13,2500,2,9,80,300,0.962280701754386,15.5
91,8,2000,5,9,40,300,0.9578947368421054,20.0
92,12,1000,3,7,50,300,0.9578947368421054,17.0
93,10,1000,2,7,40,400,0.9666666666666666,16.0
94,7,1500,1,9,70,300,0.9385964912280702,13.5
95,13,2500,4,6,40,400,0.9640350877192982,18.0
96,11,1000,5,9,80,100,0.9543859649122807,17.5
97,10,2000,4,9,90,500,0.9614035087719298,15.5
98,14,1500,4,7,50,400,0.9640350877192982,16.0
99,12,1000,4,8,70,200,0.962280701754386,16.0
100,12,1500,5,10,10,400,0.9491228070175438,15.0
